CMDLINE C:\Users\jonah\PycharmProjects\WarrenNolanScraper_cloud\.venv\Scripts\python.exe main.py
MEM 48.058594 1737411846.6992
MEM 48.058594 1737411846.8020
MEM 48.058594 1737411846.9027
MEM 48.058594 1737411847.0036
MEM 48.058594 1737411847.1040
MEM 48.058594 1737411847.2043
MEM 48.058594 1737411847.3052
MEM 48.058594 1737411847.4057
MEM 48.058594 1737411847.5061
MEM 48.058594 1737411847.6070
MEM 48.058594 1737411847.7076
MEM 48.058594 1737411847.8089
MEM 48.058594 1737411847.9095
MEM 48.058594 1737411848.0102
MEM 48.058594 1737411848.1112
MEM 48.058594 1737411848.2115
MEM 48.058594 1737411848.3120
MEM 48.058594 1737411848.4131
MEM 48.058594 1737411848.5236
MEM 48.058594 1737411848.6241
MEM 48.058594 1737411848.7245
MEM 48.058594 1737411848.8270
MEM 48.058594 1737411848.9276
MEM 48.058594 1737411849.0292
MEM 48.058594 1737411849.1296
MEM 48.058594 1737411849.2301
MEM 48.058594 1737411849.3306
MEM 48.058594 1737411849.4312
MEM 48.058594 1737411849.5319
MEM 48.058594 1737411849.6322
MEM 48.058594 1737411849.7329
MEM 48.058594 1737411849.8337
MEM 48.058594 1737411849.9343
MEM 48.058594 1737411850.0347
MEM 48.058594 1737411850.1382
MEM 48.058594 1737411850.2389
MEM 48.058594 1737411850.3395
MEM 48.058594 1737411850.4403
MEM 48.058594 1737411850.5489
MEM 48.058594 1737411850.6492
MEM 48.058594 1737411850.7498
MEM 48.058594 1737411850.8502
MEM 48.058594 1737411850.9506
MEM 48.058594 1737411851.0513
MEM 48.058594 1737411851.1521
MEM 48.058594 1737411851.2527
MEM 48.058594 1737411851.3539
MEM 48.058594 1737411851.4546
MEM 48.058594 1737411851.5550
MEM 48.058594 1737411851.6556
MEM 48.058594 1737411851.7561
MEM 48.058594 1737411851.8568
MEM 48.058594 1737411851.9573
MEM 48.058594 1737411852.0579
MEM 48.058594 1737411852.1583
MEM 48.058594 1737411852.2590
MEM 48.058594 1737411852.3596
MEM 48.058594 1737411852.4609
MEM 48.058594 1737411852.5616
MEM 48.058594 1737411852.6618
MEM 48.058594 1737411852.7646
MEM 48.058594 1737411852.8654
MEM 48.058594 1737411852.9657
MEM 48.058594 1737411853.0683
MEM 48.058594 1737411853.1690
MEM 48.058594 1737411853.2692
MEM 48.058594 1737411853.3700
MEM 48.058594 1737411853.4712
MEM 48.058594 1737411853.5717
MEM 48.058594 1737411853.6735
MEM 48.058594 1737411853.7738
